"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60739","Bigbasket Search Test By TicketId","Bigbasket","Tue Sep 16 16:36:14 IST 2025","broken","Tue Sep 16 16:37:15 IST 2025","","bigbasket-tests/03_BigbasketTicketSearchByTicketID.spec.js","",""
"","60754","Bigbasket orders Tab Test","Bigbasket","Tue Sep 16 16:36:20 IST 2025","broken","Tue Sep 16 16:37:20 IST 2025","","bigbasket-tests/09_BigasketOrdersTabTest.spec.js","",""
"","60799","BigBasket AdvanceSearch Test","Bigbasket","Tue Sep 16 16:36:14 IST 2025","broken","Tue Sep 16 16:37:15 IST 2025","","bigbasket-tests/02_BigbasketAdvanceFilter.spec.js","",""
"","60743","Bigbasket create Notes Test","Bigbasket","Tue Sep 16 16:36:20 IST 2025","broken","Tue Sep 16 16:37:20 IST 2025","","bigbasket-tests/10_BigbasketCreateNotes.spec.js","",""
"","60448","Bigbasket Send Message","Bigbasket","Tue Sep 16 16:13:32 IST 2025","broken","Tue Sep 16 16:14:32 IST 2025","","bigbasket-tests/12_BigasketSendMessage.spec.js","",""
"","60755","BigBasket Search Test by PhoneNumber","Bigbasket","Tue Sep 16 16:36:14 IST 2025","broken","Tue Sep 16 16:37:15 IST 2025","","bigbasket-tests/04_BigbasketTicketSearchByPhoneNumber.spec.js","",""
"","60890","BigBasket Search Test by Email ID","Bigbasket","Tue Sep 16 16:36:14 IST 2025","broken","Tue Sep 16 16:37:15 IST 2025","","bigbasket-tests/05_BigbasketTicketSearchByEmailID.spec.js","",""
"","60527","MeeshoCX MoreTickets Test","MeeshoCX","Tue Sep 16 16:13:32 IST 2025","broken","Tue Sep 16 16:14:32 IST 2025","","meeshocx-tests/01_MeeshoCXTicketSearchByPhoneNumber.spec.js","",""
"","60401","BigBasket Ticket assignment","Bigbasket","Tue Sep 16 16:13:32 IST 2025","broken","Tue Sep 16 16:14:32 IST 2025","","bigbasket-tests/13_BigbasketTAssignmentTicket.spec.js","",""
"","60656","Bigbasket MoreTickets Test","Bigbasket","Tue Sep 16 16:36:20 IST 2025","broken","Tue Sep 16 16:37:20 IST 2025","","bigbasket-tests/08_BigbasketMoreTickets.spec.js","",""
"","60718","Bigbasket History Tab test","Bigbasket","Tue Sep 16 16:36:20 IST 2025","broken","Tue Sep 16 16:37:20 IST 2025","","bigbasket-tests/06_BigbasketHistoryTab.spec.js","",""
"","60747","Bigbasket info Tab test","Bigbasket","Tue Sep 16 16:36:20 IST 2025","broken","Tue Sep 16 16:37:20 IST 2025","","bigbasket-tests/07_BigbasketoInfoTab.spec.js","",""
"","24239","Bigbasket All Tabs Test","Bigbasket","Tue Sep 16 16:36:14 IST 2025","passed","Tue Sep 16 16:36:39 IST 2025","","bigbasket-tests/01_BigbasketAllTabsTest.spec.js","",""
